RT_cell_map,replicate,col
RT_BC_97,2,1
RT_BC_98,3,2
RT_BC_99,2,3
RT_BC_100,3,4
RT_BC_101,2,5
RT_BC_102,3,6
RT_BC_103,,
RT_BC_104,,
RT_BC_105,,
RT_BC_106,,
RT_BC_107,,
RT_BC_108,,
RT_BC_109,2,1
RT_BC_110,3,2
RT_BC_111,2,3
RT_BC_112,3,4
RT_BC_113,2,5
RT_BC_114,3,6
RT_BC_115,,
RT_BC_116,,
RT_BC_117,,
RT_BC_118,,
RT_BC_119,,
RT_BC_120,,
RT_BC_121,2,1
RT_BC_122,3,2
RT_BC_123,2,3
RT_BC_124,3,4
RT_BC_125,2,5
RT_BC_126,3,6
RT_BC_127,,
RT_BC_128,,
RT_BC_129,,
RT_BC_130,,
RT_BC_131,,
RT_BC_132,,
RT_BC_133,2,1
RT_BC_134,3,2
RT_BC_135,2,3
RT_BC_136,3,4
RT_BC_137,2,5
RT_BC_138,3,6
RT_BC_139,,
RT_BC_140,,
RT_BC_141,,
RT_BC_142,,
RT_BC_143,,
RT_BC_144,,
RT_BC_145,2,1
RT_BC_146,3,2
RT_BC_147,2,3
RT_BC_148,3,4
RT_BC_149,2,5
RT_BC_150,3,6
RT_BC_151,,
RT_BC_152,,
RT_BC_153,,
RT_BC_154,,
RT_BC_155,,
RT_BC_156,,
RT_BC_157,2,1
RT_BC_158,3,2
RT_BC_159,2,3
RT_BC_160,3,4
RT_BC_161,2,5
RT_BC_162,3,6
RT_BC_163,,
RT_BC_164,,
RT_BC_165,,
RT_BC_166,,
RT_BC_167,,
RT_BC_168,,
RT_BC_169,2,1
RT_BC_170,3,2
RT_BC_171,2,3
RT_BC_172,3,4
RT_BC_173,2,5
RT_BC_174,3,6
RT_BC_175,,
RT_BC_176,,
RT_BC_177,,
RT_BC_178,,
RT_BC_179,,
RT_BC_180,,
RT_BC_181,2,1
RT_BC_182,3,2
RT_BC_183,2,3
RT_BC_184,3,4
RT_BC_185,2,5
RT_BC_186,3,6
RT_BC_187,,
RT_BC_188,,
RT_BC_189,,
RT_BC_190,,
RT_BC_191,,
RT_BC_192,,